transactionid,cardid,AmountRange,id_2,id_19,id_20,id_30,id_31,id_33,deviceType,deviceinfo,productcd,card4,card6,addr1,addr2,dist1,dist2,P_emailDomain,R_emailDomain,isFraud
2996796,12544-321-150-226,"(75.5 - 100.5]","(87347 - 112122]","(427.5 - 542.5]","(-inf - 214.5]","iOS 10.1.1","mobile safari 10.0",1334x750,mobile,"iOS Device",H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
2997326,12544-321-150-226,"(160.5 - 279.5]","(63489.5 - 87347]","(-inf - 175.5]","(-inf - 214.5]","iOS 11.1.2","mobile safari 11.0",2208x1242,mobile,"iOS Device",R,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_aol.com,FALSE
2997788,12544-321-150-226,"(116.5 - 160.5]","(141357.5 - 176963]","(316.5 - 383.5]","(326 - 416]","Android 7.0","chrome 61.0 for android",1920x1080,mobile,"SM-G930V Build/NRD90M",H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_yahoo.com,R_me.com,FALSE
2997805,12544-321-150-226,"(49.5 - 58.5]","(38911.5 - 63489.5]","(266.5 - 316.5]","(326 - 416]","iOS 11.1.2","mobile safari 11.0",1334x750,mobile,"iOS Device",H,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_yahoo.com,R_emailDomainNull,FALSE
2998528,12544-321-150-226,"(36.5 - 49.5]","(224296.5 - 296641]","(427.5 - 542.5]","(-inf - 214.5]","iOS 11.1.2","mobile safari 11.0",2208x1242,mobile,"iOS Device",H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_yahoo.com,FALSE
2998532,12544-321-150-226,"(36.5 - 49.5]","(38911.5 - 63489.5]","(427.5 - 542.5]","(-inf - 214.5]","iOS 11.1.2","mobile safari 11.0",2208x1242,mobile,"iOS Device",H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_yahoo.com,FALSE
2998718,12544-321-150-226,"(75.5 - 100.5]","(176963 - 224296.5]","(316.5 - 383.5]","(416 - 506.5]","iOS 11.1.2","mobile safari 11.0",1334x750,mobile,"iOS Device",R,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,FALSE
2998962,12544-321-150-226,"(49.5 - 58.5]","(87347 - 112122]","(175.5 - 252.5]","(416 - 506.5]","iOS 11.1.1","mobile safari 11.0",1334x750,mobile,"iOS Device",H,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_hotmail.com,R_emailDomainNull,FALSE
3000234,12544-321-150-226,"(49.5 - 58.5]","(63489.5 - 87347]","(316.5 - 383.5]","(416 - 506.5]","iOS 11.1.1","mobile safari 11.0",1334x750,mobile,"iOS Device",H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
3000865,12544-321-150-226,"(-inf - 26.5]","(63489.5 - 87347]","(383.5 - 416.5]","(326 - 416]","Windows 10","chrome 62.0",1600x900,desktop,Windows,S,visa,debit,"(181.5 - 204.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_emailDomainNull,R_gmail.com,FALSE
3000954,12544-321-150-226,"(-inf - 26.5]","(63489.5 - 87347]","(175.5 - 252.5]","(-inf - 214.5]","Windows 8.1","chrome 62.0",1366x768,desktop,Windows,S,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_emailDomainNull,R_yahoo.com,FALSE
3001931,12544-321-150-226,"(116.5 - 160.5]","(38911.5 - 63489.5]","(427.5 - 542.5]","(-inf - 214.5]","Windows 7","chrome 62.0",1920x1080,desktop,Windows,S,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,"(7.5 - 19.5]",P_emailDomainNull,R_anonymous.com,FALSE
3003974,12544-321-150-226,"(-inf - 26.5]","(38911.5 - 63489.5]","(427.5 - 542.5]","(507.5 - 549.5]","Mac OS X 10_13_1","safari generic",1440x900,desktop,MacOS,H,visa,debit,"(314.5 - 325.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
3004343,12544-321-150-226,"(116.5 - 160.5]","(63489.5 - 87347]","(383.5 - 416.5]","(214.5 - 304.5]","Windows 7","chrome 62.0",1600x900,desktop,Windows,R,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_anonymous.com,R_anonymous.com,FALSE
3004969,12544-321-150-226,"(49.5 - 58.5]","(63489.5 - 87347]","(266.5 - 316.5]","(-inf - 214.5]","Windows 7","chrome 61.0",1280x800,desktop,Windows,S,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,"(0.5 - 6.5]",P_emailDomainNull,R_aol.com,FALSE
3005402,12544-321-150-226,"(58.5 - 75.5]","(38911.5 - 63489.5]","(542.5 - +inf)","(416 - 506.5]","Windows 7","chrome 62.0",1600x900,desktop,Windows,S,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_emailDomainNull,R_icloud.com,FALSE
3006029,12544-321-150-226,"(-inf - 26.5]","(38911.5 - 63489.5]",id_19Null,id_20Null,"Windows 7","chrome 62.0",1920x1080,desktop,Windows,S,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_emailDomainNull,R_aol.com,FALSE
3006514,12544-321-150-226,"(75.5 - 100.5]","(-inf - 38911.5]","(542.5 - +inf)","(214.5 - 304.5]","Mac OS X 10_11_6","chrome 62.0",1280x800,desktop,MacOS,H,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,FALSE
3007307,12544-321-150-226,"(26.5 - 36.5]","(87347 - 112122]","(175.5 - 252.5]","(507.5 - 549.5]","iOS 10.3.3","mobile safari 10.0",2048x1536,mobile,"iOS Device",H,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_anonymous.com,R_emailDomainNull,FALSE
3007504,12544-321-150-226,"(75.5 - 100.5]","(112122 - 141357.5]","(542.5 - +inf)","(416 - 506.5]","iOS 11.1.2","mobile safari 11.0",2224x1668,mobile,"iOS Device",R,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_yahoo.com,R_gmail.com,FALSE
3007524,12544-321-150-226,"(-inf - 26.5]","(38911.5 - 63489.5]","(175.5 - 252.5]","(214.5 - 304.5]","Windows 10","chrome 62.0",1366x768,desktop,Windows,H,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_yahoo.com,R_emailDomainNull,FALSE
3008817,12544-321-150-226,"(160.5 - 279.5]","(141357.5 - 176963]","(175.5 - 252.5]","(-inf - 214.5]",id_30Null,"ie 11.0 for desktop",id_33Null,desktop,rv:11.0,R,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,"(626.5 - +inf)",P_anonymous.com,R_aol.com,FALSE
3008821,12544-321-150-226,"(160.5 - 279.5]","(224296.5 - 296641]","(175.5 - 252.5]","(-inf - 214.5]",id_30Null,"ie 11.0 for desktop",id_33Null,desktop,rv:11.0,R,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,"(626.5 - +inf)",P_anonymous.com,R_aol.com,FALSE
3009349,12544-321-150-226,"(58.5 - 75.5]","(112122 - 141357.5]","(542.5 - +inf)","(416 - 506.5]","iOS 11.1.2","mobile safari 11.0",2224x1668,mobile,"iOS Device",R,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_yahoo.com,R_gmail.com,FALSE
3009829,12544-321-150-226,"(49.5 - 58.5]","(-inf - 38911.5]","(383.5 - 416.5]","(-inf - 214.5]","Windows 10","chrome 62.0",1920x1080,desktop,Windows,H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
3010123,12544-321-150-226,"(49.5 - 58.5]","(63489.5 - 87347]",id_19Null,id_20Null,"Windows 7","ie 11.0 for desktop",1920x1080,desktop,Trident/7.0,H,visa,debit,"(291.5 - 314.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_yahoo.com,FALSE
3010801,12544-321-150-226,"(36.5 - 49.5]","(-inf - 38911.5]","(427.5 - 542.5]","(-inf - 214.5]","Windows 10","edge 14.0",1366x768,desktop,Windows,H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
3013027,12544-321-150-226,"(75.5 - 100.5]","(176963 - 224296.5]","(-inf - 175.5]","(416 - 506.5]","Windows 10","chrome 62.0",1920x1080,desktop,Windows,R,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,FALSE
3015072,12544-321-150-226,"(-inf - 26.5]","(63489.5 - 87347]","(175.5 - 252.5]","(326 - 416]","iOS 11.1.2","mobile safari 11.0",1334x750,mobile,"iOS Device",H,visa,debit,"(181.5 - 204.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,FALSE
3015183,12544-321-150-226,"(75.5 - 100.5]","(63489.5 - 87347]","(-inf - 175.5]","(507.5 - 549.5]","Mac OS X 10_13_1","safari generic",2880x1800,desktop,MacOS,H,visa,debit,"(181.5 - 204.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
3015792,12544-321-150-226,"(49.5 - 58.5]","(87347 - 112122]","(316.5 - 383.5]","(596.5 - +inf)","iOS 10.3.3","mobile safari 10.0",1334x750,mobile,"iOS Device",H,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_hotmail.com,R_emailDomainNull,FALSE
3016128,12544-321-150-226,"(116.5 - 160.5]","(-inf - 38911.5]","(542.5 - +inf)","(416 - 506.5]","Windows 7","chrome 62.0",1600x900,desktop,Windows,S,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_emailDomainNull,R_comcast.net,FALSE
3017707,12544-321-150-226,"(49.5 - 58.5]","(176963 - 224296.5]","(427.5 - 542.5]","(-inf - 214.5]","Windows 7","firefox 57.0",1280x800,desktop,Windows,H,visa,debit,"(204.5 - 264.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_outlook.com,R_outlook.com,TRUE
3018965,12544-321-150-226,"(-inf - 26.5]","(176963 - 224296.5]","(266.5 - 316.5]","(214.5 - 304.5]","iOS 9.3.5","mobile safari 9.0",2048x1536,mobile,"iOS Device",H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
3019002,12544-321-150-226,"(26.5 - 36.5]","(224296.5 - 296641]","(175.5 - 252.5]","(416 - 506.5]","Android 7.0","chrome 62.0 for android",2220x1080,mobile,"SM-G950U Build/NRD90M",H,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_comcast.net,R_emailDomainNull,FALSE
3019035,12544-321-150-226,"(116.5 - 160.5]","(38911.5 - 63489.5]","(427.5 - 542.5]","(-inf - 214.5]","iOS 11.1.2","mobile safari 11.0",2208x1242,mobile,"iOS Device",R,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,FALSE
3020567,12544-321-150-226,"(75.5 - 100.5]","(-inf - 38911.5]","(175.5 - 252.5]","(326 - 416]","iOS 11.1.2","mobile safari 11.0",1334x750,mobile,"iOS Device",H,visa,debit,"(181.5 - 204.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
3020575,12544-321-150-226,"(75.5 - 100.5]","(63489.5 - 87347]","(175.5 - 252.5]","(326 - 416]","iOS 11.1.2","mobile safari 11.0",1334x750,mobile,"iOS Device",H,visa,debit,"(181.5 - 204.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
3020779,12544-321-150-226,"(36.5 - 49.5]","(-inf - 38911.5]","(542.5 - +inf)","(214.5 - 304.5]","Windows 10","chrome 62.0",1366x768,desktop,Windows,H,visa,debit,"(291.5 - 314.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
3021918,12544-321-150-226,"(75.5 - 100.5]","(87347 - 112122]","(427.5 - 542.5]","(214.5 - 304.5]","iOS 10.3.3","mobile safari generic",1136x640,mobile,"iOS Device",H,visa,debit,"(181.5 - 204.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_comcast.net,R_emailDomainNull,FALSE
3022131,12544-321-150-226,"(116.5 - 160.5]","(176963 - 224296.5]","(316.5 - 383.5]","(-inf - 214.5]","iOS 10.2.1","mobile safari generic",2208x1242,mobile,"iOS Device",R,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_yahoo.com,R_gmail.com,FALSE
3022149,12544-321-150-226,"(116.5 - 160.5]","(38911.5 - 63489.5]","(316.5 - 383.5]","(-inf - 214.5]","iOS 10.2.1","mobile safari generic",2208x1242,mobile,"iOS Device",R,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_yahoo.com,R_gmail.com,FALSE
3022155,12544-321-150-226,"(116.5 - 160.5]","(87347 - 112122]","(316.5 - 383.5]","(-inf - 214.5]","iOS 10.2.1","mobile safari generic",2208x1242,mobile,"iOS Device",R,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_yahoo.com,R_gmail.com,FALSE
3022514,12544-321-150-226,"(58.5 - 75.5]","(38911.5 - 63489.5]","(427.5 - 542.5]","(-inf - 214.5]","iOS 11.1.2","mobile safari 11.0",1334x750,mobile,"iOS Device",H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_yahoo.com,R_emailDomainNull,FALSE
3022786,12544-321-150-226,"(-inf - 26.5]","(176963 - 224296.5]","(-inf - 175.5]","(-inf - 214.5]","Windows 10",firefox,1024x768,desktop,rv:57.0,H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_hotmail.com,R_gmail.com,FALSE
3022963,12544-321-150-226,"(49.5 - 58.5]","(-inf - 38911.5]","(542.5 - +inf)","(416 - 506.5]","Mac OS X 10_9_5","chrome 62.0",2560x1600,desktop,MacOS,H,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
3023675,12544-321-150-226,"(49.5 - 58.5]","(38911.5 - 63489.5]","(383.5 - 416.5]","(-inf - 214.5]","Windows 10","edge 16.0",id_33Null,desktop,Windows,H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_yahoo.com,R_emailDomainNull,FALSE
3024386,12544-321-150-226,"(279.5 - +inf)","(87347 - 112122]","(383.5 - 416.5]","(507.5 - 549.5]","iOS 11.2.0","mobile safari 11.0",2208x1242,mobile,"iOS Device",R,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,TRUE
3024393,12544-321-150-226,"(279.5 - +inf)","(87347 - 112122]","(383.5 - 416.5]","(507.5 - 549.5]","iOS 11.2.0","mobile safari 11.0",2208x1242,mobile,"iOS Device",R,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,TRUE
3024414,12544-321-150-226,"(279.5 - +inf)","(112122 - 141357.5]","(383.5 - 416.5]","(507.5 - 549.5]","iOS 11.2.0","mobile safari 11.0",2208x1242,mobile,"iOS Device",R,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,TRUE
3024434,12544-321-150-226,"(279.5 - +inf)","(296641 - 426782]","(383.5 - 416.5]","(507.5 - 549.5]",id_30Null,"mobile safari 11.0",id_33Null,mobile,deviceInfoNull,R,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,TRUE
3024542,12544-321-150-226,"(58.5 - 75.5]","(38911.5 - 63489.5]","(542.5 - +inf)","(214.5 - 304.5]","Mac OS X 10_9_5","safari generic",1280x800,desktop,MacOS,H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_aol.com,R_gmail.com,FALSE
3024547,12544-321-150-226,"(160.5 - 279.5]","(296641 - 426782]","(383.5 - 416.5]","(507.5 - 549.5]",id_30Null,"mobile safari 11.0",id_33Null,mobile,deviceInfoNull,R,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,TRUE
3024627,12544-321-150-226,"(26.5 - 36.5]","(176963 - 224296.5]","(427.5 - 542.5]","(-inf - 214.5]","iOS 11.1.2","mobile safari 11.0",1334x750,mobile,"iOS Device",H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,FALSE
3025107,12544-321-150-226,"(-inf - 26.5]","(224296.5 - 296641]","(542.5 - +inf)","(416 - 506.5]","Android 7.0","chrome 63.0 for android",2560x1440,mobile,"SM-G920V Build/NRD90M",H,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
3025551,12544-321-150-226,"(116.5 - 160.5]","(63489.5 - 87347]","(266.5 - 316.5]","(214.5 - 304.5]","Windows 10","chrome 62.0",1366x768,desktop,Windows,R,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,FALSE
3025559,12544-321-150-226,"(116.5 - 160.5]","(-inf - 38911.5]","(266.5 - 316.5]","(214.5 - 304.5]","Windows 10","chrome 62.0",1366x768,desktop,Windows,R,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,FALSE
3025560,12544-321-150-226,"(116.5 - 160.5]","(38911.5 - 63489.5]","(266.5 - 316.5]","(214.5 - 304.5]","Windows 10","chrome 62.0",1366x768,desktop,Windows,R,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,FALSE
3028176,12544-321-150-226,"(-inf - 26.5]","(-inf - 38911.5]","(383.5 - 416.5]","(326 - 416]","Mac OS X 10_10_5","chrome 62.0",2560x1440,desktop,MacOS,H,visa,debit,"(181.5 - 204.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
3028206,12544-321-150-226,"(-inf - 26.5]","(-inf - 38911.5]","(383.5 - 416.5]","(-inf - 214.5]","Windows 7",firefox,1920x1080,desktop,Windows,H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_anonymous.com,R_anonymous.com,FALSE
3028729,12544-321-150-226,"(160.5 - 279.5]","(224296.5 - 296641]","(-inf - 175.5]","(507.5 - 549.5]","Mac OS X 10_11_6","safari generic",2560x1440,desktop,MacOS,R,visa,debit,"(325.5 - 337.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_verizon.net,R_cox.net,FALSE
3028984,12544-321-150-226,"(49.5 - 58.5]","(224296.5 - 296641]","(427.5 - 542.5]","(-inf - 214.5]","Windows 7","chrome 63.0",id_33Null,desktop,Windows,H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_att.net,R_emailDomainNull,FALSE
3029009,12544-321-150-226,"(75.5 - 100.5]","(-inf - 38911.5]","(383.5 - 416.5]","(-inf - 214.5]","Windows 10","chrome 63.0",1920x1080,desktop,Windows,H,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
3029339,12544-321-150-226,"(-inf - 26.5]","(87347 - 112122]","(-inf - 175.5]","(507.5 - 549.5]","iOS 10.2.0","mobile safari 10.0",2001x1125,mobile,"iOS Device",H,visa,debit,"(181.5 - 204.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_yahoo.com,R_anonymous.com,FALSE
3032288,12544-321-150-226,"(116.5 - 160.5]","(426782 - +inf)",id_19Null,id_20Null,"Windows 7","ie 11.0 for desktop",1600x900,desktop,Trident/7.0,R,visa,debit,"(337.5 - 452.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_me.com,R_me.com,FALSE
3033142,12544-321-150-226,"(75.5 - 100.5]","(63489.5 - 87347]","(427.5 - 542.5]","(596.5 - +inf)","Windows 10","edge 16.0",1366x768,desktop,Windows,H,visa,debit,"(181.5 - 204.5]","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_gmail.com,FALSE
3033858,12544-321-150-226,"(49.5 - 58.5]","(38911.5 - 63489.5]","(175.5 - 252.5]","(507.5 - 549.5]","Windows 7","ie 11.0 for desktop",1280x1024,desktop,Trident/7.0,H,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_anonymous.com,R_anonymous.com,FALSE
3033863,12544-321-150-226,"(49.5 - 58.5]","(-inf - 38911.5]","(175.5 - 252.5]","(507.5 - 549.5]","Windows 7","ie 11.0 for desktop",1280x1024,desktop,Trident/7.0,H,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_anonymous.com,R_anonymous.com,FALSE
3033893,12544-321-150-226,"(49.5 - 58.5]","(38911.5 - 63489.5]","(175.5 - 252.5]","(507.5 - 549.5]","Windows 7","ie 11.0 for desktop",1280x1024,desktop,Trident/7.0,H,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_anonymous.com,R_anonymous.com,FALSE
3035135,12544-321-150-226,"(49.5 - 58.5]","(38911.5 - 63489.5]","(316.5 - 383.5]","(-inf - 214.5]","iOS 11.1.2","mobile safari 11.0",2208x1242,mobile,"iOS Device",H,visa,debit,"(452.5 - +inf)","(86.5 - 87.5]",dist1Null,dist2Null,P_gmail.com,R_emailDomainNull,FALSE
